Date,Translated version,Original tweet,Media source link
2018-05-21,...they then used to start an investigation about Trump. It is that simple. This guy is the genesis of this whole D… https://t.co/UJkGIqjIwi,...they then used to start an investigation about Trump. It is that simple. This guy is the genesis of this whole D… https://t.co/UJkGIqjIwi,"=HYPERLINK(""http://twitter.com/realDonaldTrump/status/998537117180588033"", ""Access details here"")"
2018-05-21,....top of the FBI. Brennan started this entire debacle about President Trump. We now know that Brennan had detaile… https://t.co/HnquHM9Wtq,....top of the FBI. Brennan started this entire debacle about President Trump. We now know that Brennan had detaile… https://t.co/HnquHM9Wtq,"=HYPERLINK(""http://twitter.com/realDonaldTrump/status/998534123399663616"", ""Access details here"")"
2018-05-21,"“John Brennan is panicking. He has disgraced himself, he has disgraced the Country, he has disgraced the entire Int… https://t.co/8ITWKc8oid","“John Brennan is panicking. He has disgraced himself, he has disgraced the Country, he has disgraced the entire Int… https://t.co/8ITWKc8oid","=HYPERLINK(""http://twitter.com/realDonaldTrump/status/998532136578748425"", ""Access details here"")"
2018-05-21,China must continue to be strong &amp; tight on the Border of North Korea until a deal is made. The word is that recent… https://t.co/OJgzV5S6i7,China must continue to be strong &amp; tight on the Border of North Korea until a deal is made. The word is that recent… https://t.co/OJgzV5S6i7,"=HYPERLINK(""http://twitter.com/realDonaldTrump/status/998528928259170305"", ""Access details here"")"
2018-05-21,"On China, Barriers and Tariffs to come down for first time.","On China, Barriers and Tariffs to come down for first time.","=HYPERLINK(""http://twitter.com/realDonaldTrump/status/998526637657546753"", ""Access details here"")"
2018-05-21,China has agreed to buy massive amounts of ADDITIONAL Farm/Agricultural Products - would be one of the best things… https://t.co/3JWukYraU1,China has agreed to buy massive amounts of ADDITIONAL Farm/Agricultural Products - would be one of the best things… https://t.co/3JWukYraU1,"=HYPERLINK(""http://twitter.com/realDonaldTrump/status/998525737593376768"", ""Access details here"")"
2018-05-21,"I ask Senator Chuck Schumer, why didn’t President Obama &amp; the Democrats do something about Trade with China, includ… https://t.co/e8k3tCSFuq","I ask Senator Chuck Schumer, why didn’t President Obama &amp; the Democrats do something about Trade with China, includ… https://t.co/e8k3tCSFuq","=HYPERLINK(""http://twitter.com/realDonaldTrump/status/998524172858019840"", ""Access details here"")"
2018-05-20,"I hereby demand, and will do so officially tomorrow, that the Department of Justice look into whether or not the FB… https://t.co/GPZy1kPKgJ","I hereby demand, and will do so officially tomorrow, that the Department of Justice look into whether or not the FB… https://t.co/GPZy1kPKgJ","=HYPERLINK(""http://twitter.com/realDonaldTrump/status/998256454590193665"", ""Access details here"")"
2018-05-20,RT @EricTrump: It is emotional day being back at @StJude in celebration of our dear friend Colin! He was a beautiful child who we will all…,RT @EricTrump: It is emotional day being back at @StJude in celebration of our dear friend Colin! He was a beautiful child who we will all…,"=HYPERLINK(""http://twitter.com/realDonaldTrump/status/998250603410313216"", ""Access details here"")"
2018-05-20,The Witch Hunt finds no Collusion with Russia - so now they’re looking at the rest of the World. Oh’ great!,The Witch Hunt finds no Collusion with Russia - so now they’re looking at the rest of the World. Oh’ great!,"=HYPERLINK(""http://twitter.com/realDonaldTrump/status/998250447394820096"", ""Access details here"")"
2018-05-20,"....and why hasn’t the Podesta brother been charged and arrested, like others, after being forced to close down his… https://t.co/KCLczjNejo","....and why hasn’t the Podesta brother been charged and arrested, like others, after being forced to close down his… https://t.co/KCLczjNejo","=HYPERLINK(""http://twitter.com/realDonaldTrump/status/998202784683053056"", ""Access details here"")"
2018-05-20,"What ever happened to the Server, at the center of so much Corruption, that the Democratic National Committee REFUS… https://t.co/GJpvXy5gF6","What ever happened to the Server, at the center of so much Corruption, that the Democratic National Committee REFUS… https://t.co/GJpvXy5gF6","=HYPERLINK(""http://twitter.com/realDonaldTrump/status/998196033153839104"", ""Access details here"")"
2018-05-20,"Now that the Witch Hunt has given up on Russia and is looking at the rest of the World, they should easily be able… https://t.co/cq9OV0xgMK","Now that the Witch Hunt has given up on Russia and is looking at the rest of the World, they should easily be able… https://t.co/cq9OV0xgMK","=HYPERLINK(""http://twitter.com/realDonaldTrump/status/998194013193822208"", ""Access details here"")"
2018-05-20,"...in the Hillary Clinton Campaign where she deleted 33,000 Emails, got $145,000,000 while Secretary of State, paid… https://t.co/MWjsRLsRv3","...in the Hillary Clinton Campaign where she deleted 33,000 Emails, got $145,000,000 while Secretary of State, paid… https://t.co/MWjsRLsRv3","=HYPERLINK(""http://twitter.com/realDonaldTrump/status/998191501451628544"", ""Access details here"")"
2018-05-20,"....At what point does this soon to be $20,000,000 Witch Hunt, composed of 13 Angry and Heavily Conflicted Democrat… https://t.co/GtB6hPqE7d","....At what point does this soon to be $20,000,000 Witch Hunt, composed of 13 Angry and Heavily Conflicted Democrat… https://t.co/GtB6hPqE7d","=HYPERLINK(""http://twitter.com/realDonaldTrump/status/998189366844559360"", ""Access details here"")"
2018-05-20,Things are really getting ridiculous. The Failing and Crooked (but not as Crooked as Hillary Clinton) @nytimes has… https://t.co/cxZh2Q5pYF,Things are really getting ridiculous. The Failing and Crooked (but not as Crooked as Hillary Clinton) @nytimes has… https://t.co/cxZh2Q5pYF,"=HYPERLINK(""http://twitter.com/realDonaldTrump/status/998187672979038208"", ""Access details here"")"
2018-05-19,"If the FBI or DOJ was infiltrating a campaign for the benefit of another campaign, that is a really big deal. Only… https://t.co/HsHTUzpwxc","If the FBI or DOJ was infiltrating a campaign for the benefit of another campaign, that is a really big deal. Only… https://t.co/HsHTUzpwxc","=HYPERLINK(""http://twitter.com/realDonaldTrump/status/997951982467014656"", ""Access details here"")"
2018-05-19,Great to have our incredible First Lady back home in the White House. Melania is feeling and doing really well. Tha… https://t.co/XHEqoCFv8E,Great to have our incredible First Lady back home in the White House. Melania is feeling and doing really well. Tha… https://t.co/XHEqoCFv8E,"=HYPERLINK(""http://twitter.com/realDonaldTrump/status/997909163379449857"", ""Access details here"")"
2018-05-19,Happy #ArmedForcesDay to our GREAT military men and women for their selfless service to our Nation! https://t.co/jbJvrkV1hH,Happy #ArmedForcesDay to our GREAT military men and women for their selfless service to our Nation! https://t.co/jbJvrkV1hH,"=HYPERLINK(""http://twitter.com/realDonaldTrump/status/997899870903169024"", ""Access details here"")"
2018-05-19,"RT @realDonaldTrump: We grieve for the terrible loss of life, and send our support and love to everyone affected by this horrible attack in…","RT @realDonaldTrump: We grieve for the terrible loss of life, and send our support and love to everyone affected by this horrible attack in…","=HYPERLINK(""http://twitter.com/realDonaldTrump/status/997838932879593473"", ""Access details here"")"
2018-05-18,"America is blessed with extraordinary energy abundance, including more than 250 years worth of beautiful clean coal… https://t.co/Um82NEyz0G","America is blessed with extraordinary energy abundance, including more than 250 years worth of beautiful clean coal… https://t.co/Um82NEyz0G","=HYPERLINK(""http://twitter.com/realDonaldTrump/status/997612079375945728"", ""Access details here"")"
2018-05-18,"California finally deserves a great Governor, one who understands borders, crime and lowering taxes. John Cox is th… https://t.co/cmabmnO8VK","California finally deserves a great Governor, one who understands borders, crime and lowering taxes. John Cox is th… https://t.co/cmabmnO8VK","=HYPERLINK(""http://twitter.com/realDonaldTrump/status/997597940444221440"", ""Access details here"")"
2018-05-18,Just met with UN Secretary-General António Guterres who is working hard to “Make the United Nations Great Again.” W… https://t.co/B6dQMsJl1d,Just met with UN Secretary-General António Guterres who is working hard to “Make the United Nations Great Again.” W… https://t.co/B6dQMsJl1d,"=HYPERLINK(""http://twitter.com/realDonaldTrump/status/997577906007298048"", ""Access details here"")"
2018-05-18,America is a Nation that believes in the power of redemption. America is a Nation that believes in second chances -… https://t.co/jySG1DyxZO,America is a Nation that believes in the power of redemption. America is a Nation that believes in second chances -… https://t.co/jySG1DyxZO,"=HYPERLINK(""http://twitter.com/realDonaldTrump/status/997573139663028224"", ""Access details here"")"
2018-05-18,RT @SteveForbesCEO: .@realDonaldTrump speech on drug costs pays immediate dividends. New @Amgen drug lists at 30% less than expected. Middl…,RT @SteveForbesCEO: .@realDonaldTrump speech on drug costs pays immediate dividends. New @Amgen drug lists at 30% less than expected. Middl…,"=HYPERLINK(""http://twitter.com/realDonaldTrump/status/997568208369577985"", ""Access details here"")"
2018-05-18,"We grieve for the terrible loss of life, and send our support and love to everyone affected by this horrible attack… https://t.co/05tDoyLLzu","We grieve for the terrible loss of life, and send our support and love to everyone affected by this horrible attack… https://t.co/05tDoyLLzu","=HYPERLINK(""http://twitter.com/realDonaldTrump/status/997515759281680385"", ""Access details here"")"
2018-05-18,School shooting in Texas. Early reports not looking good. God bless all!,School shooting in Texas. Early reports not looking good. God bless all!,"=HYPERLINK(""http://twitter.com/realDonaldTrump/status/997493407097524224"", ""Access details here"")"
2018-05-18,"Reports are there was indeed at least one FBI representative implanted, for political purposes, into my campaign fo… https://t.co/G7nGClSOui","Reports are there was indeed at least one FBI representative implanted, for political purposes, into my campaign fo… https://t.co/G7nGClSOui","=HYPERLINK(""http://twitter.com/realDonaldTrump/status/997474432443707393"", ""Access details here"")"
2018-05-18,"Why isn’t disgraced FBI official Andrew McCabe being investigated for the $700,000 Crooked Hillary Democrats in Vir… https://t.co/aj9KZQLMdM","Why isn’t disgraced FBI official Andrew McCabe being investigated for the $700,000 Crooked Hillary Democrats in Vir… https://t.co/aj9KZQLMdM","=HYPERLINK(""http://twitter.com/realDonaldTrump/status/997471413266247681"", ""Access details here"")"
2018-05-18,"Fake News Media had me calling Immigrants, or Illegal Immigrants, “Animals.” Wrong! They were begrudgingly forced t… https://t.co/rNvS7poZl1","Fake News Media had me calling Immigrants, or Illegal Immigrants, “Animals.” Wrong! They were begrudgingly forced t… https://t.co/rNvS7poZl1","=HYPERLINK(""http://twitter.com/realDonaldTrump/status/997429518867591170"", ""Access details here"")"
2018-05-18,"“Apparently the DOJ put a Spy in the Trump Campaign. This has never been done before and by any means necessary, th… https://t.co/KYj4GP0Wy3","“Apparently the DOJ put a Spy in the Trump Campaign. This has never been done before and by any means necessary, th… https://t.co/KYj4GP0Wy3","=HYPERLINK(""http://twitter.com/realDonaldTrump/status/997422764909912065"", ""Access details here"")"
2018-05-17,RT @WhiteHouse: #Laurel? #Yanny? Or... https://t.co/5hth07SdGY,RT @WhiteHouse: #Laurel? #Yanny? Or... https://t.co/5hth07SdGY,"=HYPERLINK(""http://twitter.com/realDonaldTrump/status/997261581665951744"", ""Access details here"")"
2018-05-17,It was my great honor to visit with our HEROES last night at Walter Reed Medical Center. There is nobody like them! https://t.co/fG5W1SwIHK,It was my great honor to visit with our HEROES last night at Walter Reed Medical Center. There is nobody like them! https://t.co/fG5W1SwIHK,"=HYPERLINK(""http://twitter.com/realDonaldTrump/status/997239623268085761"", ""Access details here"")"
2018-05-17,"Tomorrow, the House will vote on a strong Farm Bill, which includes work requirements. We must support our Nation’s great farmers!","Tomorrow, the House will vote on a strong Farm Bill, which includes work requirements. We must support our Nation’s great farmers!","=HYPERLINK(""http://twitter.com/realDonaldTrump/status/997238932311068674"", ""Access details here"")"
2018-05-17,Great talk with my friend President Mauricio Macri of Argentina this week. He is doing such a good job for Argentin… https://t.co/UGBWBgSzeL,Great talk with my friend President Mauricio Macri of Argentina this week. He is doing such a good job for Argentin… https://t.co/UGBWBgSzeL,"=HYPERLINK(""http://twitter.com/realDonaldTrump/status/997233764689498112"", ""Access details here"")"
2018-05-17,"Talking trade with the Vice Premier of the People’s Republic of China, Liu He. https://t.co/9T7Iq6F3Xe","Talking trade with the Vice Premier of the People’s Republic of China, Liu He. https://t.co/9T7Iq6F3Xe","=HYPERLINK(""http://twitter.com/realDonaldTrump/status/997227223638790144"", ""Access details here"")"
2018-05-17,"Congratulations to our new CIA Director, Gina Haspel! https://t.co/n1xj9LSV9D","Congratulations to our new CIA Director, Gina Haspel! https://t.co/n1xj9LSV9D","=HYPERLINK(""http://twitter.com/realDonaldTrump/status/997220260259487744"", ""Access details here"")"
2018-05-17,Congrats to the House for passing the VA MISSION Act yesterday. Without this funding our veterans will be forced to… https://t.co/NllDlYpT8f,Congrats to the House for passing the VA MISSION Act yesterday. Without this funding our veterans will be forced to… https://t.co/NllDlYpT8f,"=HYPERLINK(""http://twitter.com/realDonaldTrump/status/997136144465842177"", ""Access details here"")"
2018-05-17,"Despite the disgusting, illegal and unwarranted Witch Hunt, we have had the most successful first 17 month Administ… https://t.co/pVP7wCPj8M","Despite the disgusting, illegal and unwarranted Witch Hunt, we have had the most successful first 17 month Administ… https://t.co/pVP7wCPj8M","=HYPERLINK(""http://twitter.com/realDonaldTrump/status/997112687799697408"", ""Access details here"")"
2018-05-17,"Wow, word seems to be coming out that the Obama FBI “SPIED ON THE TRUMP CAMPAIGN WITH AN EMBEDDED INFORMANT.” Andre… https://t.co/Kng10sdHdO","Wow, word seems to be coming out that the Obama FBI “SPIED ON THE TRUMP CAMPAIGN WITH AN EMBEDDED INFORMANT.” Andre… https://t.co/Kng10sdHdO","=HYPERLINK(""http://twitter.com/realDonaldTrump/status/997095653875617792"", ""Access details here"")"
2018-05-17,"Congratulations America, we are now into the second year of the greatest Witch Hunt in American History...and there… https://t.co/YOAAfBRwLu","Congratulations America, we are now into the second year of the greatest Witch Hunt in American History...and there… https://t.co/YOAAfBRwLu","=HYPERLINK(""http://twitter.com/realDonaldTrump/status/997076300476055552"", ""Access details here"")"
2018-05-16,Gina Haspel is one step closer to leading our brave men and women at the CIA. She is exceptionally qualified and th… https://t.co/pv7caRpgj8,Gina Haspel is one step closer to leading our brave men and women at the CIA. She is exceptionally qualified and th… https://t.co/pv7caRpgj8,"=HYPERLINK(""http://twitter.com/realDonaldTrump/status/996887371210788864"", ""Access details here"")"
2018-05-16,"...and voted against the massive Tax Cut Bill. He’s also weak on borders and crime. Sadly, our great Military and V… https://t.co/ecAjvdF7re","...and voted against the massive Tax Cut Bill. He’s also weak on borders and crime. Sadly, our great Military and V… https://t.co/ecAjvdF7re","=HYPERLINK(""http://twitter.com/realDonaldTrump/status/996822740320575488"", ""Access details here"")"
2018-05-16,"Lou Barletta will be a great Senator for Pennsylvania but his opponent, Bob Casey, has been a do-nothing Senator wh… https://t.co/ZXpgvUcUVs","Lou Barletta will be a great Senator for Pennsylvania but his opponent, Bob Casey, has been a do-nothing Senator wh… https://t.co/ZXpgvUcUVs","=HYPERLINK(""http://twitter.com/realDonaldTrump/status/996822738101825538"", ""Access details here"")"
2018-05-16,"Today, it was my great honor to welcome President Mirziyoyev of Uzbekistan to the @WhiteHouse! https://t.co/3EkHChjnYA","Today, it was my great honor to welcome President Mirziyoyev of Uzbekistan to the @WhiteHouse! https://t.co/3EkHChjnYA","=HYPERLINK(""http://twitter.com/realDonaldTrump/status/996810253126787073"", ""Access details here"")"
2018-05-16,"House votes today on Choice/MISSION Act. Who will stand with our Great Vets, caregivers, and Veterans Service Organ… https://t.co/eAyLpx00Ex","House votes today on Choice/MISSION Act. Who will stand with our Great Vets, caregivers, and Veterans Service Organ… https://t.co/eAyLpx00Ex","=HYPERLINK(""http://twitter.com/realDonaldTrump/status/996802784090640385"", ""Access details here"")"
2018-05-16,"...haven’t even started yet! The U.S. has very little to give, because it has given so much over the years. China has much to give!","...haven’t even started yet! The U.S. has very little to give, because it has given so much over the years. China has much to give!","=HYPERLINK(""http://twitter.com/realDonaldTrump/status/996739376028835840"", ""Access details here"")"
2018-05-16,"...We have not seen China’s demands yet, which should be few in that previous U.S. Administrations have done so poo… https://t.co/vOBV6ibkGk","...We have not seen China’s demands yet, which should be few in that previous U.S. Administrations have done so poo… https://t.co/vOBV6ibkGk","=HYPERLINK(""http://twitter.com/realDonaldTrump/status/996739374619426816"", ""Access details here"")"
2018-05-16,The Washington Post and CNN have typically written false stories about our trade negotiations with China. Nothing h… https://t.co/pTIy1Tm9k0,The Washington Post and CNN have typically written false stories about our trade negotiations with China. Nothing h… https://t.co/pTIy1Tm9k0,"=HYPERLINK(""http://twitter.com/realDonaldTrump/status/996739372723638272"", ""Access details here"")"
2018-05-16,Congratulations to Deb Fischer. The people of Nebraska have seen what a great job she is doing - and it showed up at the ballot box! #MAGA,Congratulations to Deb Fischer. The people of Nebraska have seen what a great job she is doing - and it showed up at the ballot box! #MAGA,"=HYPERLINK(""http://twitter.com/realDonaldTrump/status/996728397362540545"", ""Access details here"")"
2018-05-16,Congratulations to Lou Barletta of Pennsylvania. He will be a great Senator and will represent his people well - li… https://t.co/972DSl4ox1,Congratulations to Lou Barletta of Pennsylvania. He will be a great Senator and will represent his people well - li… https://t.co/972DSl4ox1,"=HYPERLINK(""http://twitter.com/realDonaldTrump/status/996723907867676673"", ""Access details here"")"
2018-05-15,Thank you to the Washington Examiner and @CortesSteve on the great article - on WINNING! https://t.co/b5dfUABN5q,Thank you to the Washington Examiner and @CortesSteve on the great article - on WINNING! https://t.co/b5dfUABN5q,"=HYPERLINK(""http://twitter.com/realDonaldTrump/status/996487798759854082"", ""Access details here"")"
2018-05-15,#PeaceOfficersMemorialDay https://t.co/agxulpPyag,#PeaceOfficersMemorialDay https://t.co/agxulpPyag,"=HYPERLINK(""http://twitter.com/realDonaldTrump/status/996464466702274561"", ""Access details here"")"
2018-05-15,Today is one of the most important and solemn occasions of the year – the day we pay tribute to the Law Enforcement… https://t.co/qrxwNjPF3K,Today is one of the most important and solemn occasions of the year – the day we pay tribute to the Law Enforcement… https://t.co/qrxwNjPF3K,"=HYPERLINK(""http://twitter.com/realDonaldTrump/status/996460197005717504"", ""Access details here"")"
2018-05-15,Nebraska - make sure you get out to the polls and VOTE for Deb Fischer today! https://t.co/bDHVaGv2FS,Nebraska - make sure you get out to the polls and VOTE for Deb Fischer today! https://t.co/bDHVaGv2FS,"=HYPERLINK(""http://twitter.com/realDonaldTrump/status/996442654568341505"", ""Access details here"")"
2018-05-15,"Can you believe that with all of the made up, unsourced stories I get from the Fake News Media, together with the… https://t.co/OHJW8Dycot","Can you believe that with all of the made up, unsourced stories I get from the Fake News Media, together with the… https://t.co/OHJW8Dycot","=HYPERLINK(""http://twitter.com/realDonaldTrump/status/996391840860471296"", ""Access details here"")"
2018-05-15,Trade negotiations are continuing with China. They have been making hundreds of billions of dollars a year from the… https://t.co/SPu8TrgTMU,Trade negotiations are continuing with China. They have been making hundreds of billions of dollars a year from the… https://t.co/SPu8TrgTMU,"=HYPERLINK(""http://twitter.com/realDonaldTrump/status/996368474556583937"", ""Access details here"")"
2018-05-15,Our great First Lady is doing really well. Will be leaving hospital in 2 or 3 days. Thank you for so much love and support!,Our great First Lady is doing really well. Will be leaving hospital in 2 or 3 days. Thank you for so much love and support!,"=HYPERLINK(""http://twitter.com/realDonaldTrump/status/996366330436648960"", ""Access details here"")"
2018-05-15,RT @Scavino45: “Job openings hit record high of 6.6 million” https://t.co/BwDsLU6T4l,RT @Scavino45: “Job openings hit record high of 6.6 million” https://t.co/BwDsLU6T4l,"=HYPERLINK(""http://twitter.com/realDonaldTrump/status/996365120300371968"", ""Access details here"")"
2018-05-15,RT @Scavino45: “Trump is putting the US back on top” https://t.co/tnYo2EAd2T,RT @Scavino45: “Trump is putting the US back on top” https://t.co/tnYo2EAd2T,"=HYPERLINK(""http://twitter.com/realDonaldTrump/status/996364924157857792"", ""Access details here"")"
2018-05-14,"Heading over to Walter Reed Medical Center to see our great First Lady, Melania. Successful procedure, she is in go… https://t.co/v0MJsIOFOS","Heading over to Walter Reed Medical Center to see our great First Lady, Melania. Successful procedure, she is in go… https://t.co/v0MJsIOFOS","=HYPERLINK(""http://twitter.com/realDonaldTrump/status/996135379802755072"", ""Access details here"")"
2018-05-14,The so-called leaks coming out of the White House are a massive over  exaggeration put out by the Fake News Media i… https://t.co/bRwsZ3tz5K,The so-called leaks coming out of the White House are a massive over  exaggeration put out by the Fake News Media i… https://t.co/bRwsZ3tz5K,"=HYPERLINK(""http://twitter.com/realDonaldTrump/status/996129630913482755"", ""Access details here"")"
2018-05-14,"ZTE, the large Chinese phone company, buys a big percentage of individual parts from U.S. companies. This is also r… https://t.co/2pYRvSL0NL","ZTE, the large Chinese phone company, buys a big percentage of individual parts from U.S. companies. This is also r… https://t.co/2pYRvSL0NL","=HYPERLINK(""http://twitter.com/realDonaldTrump/status/996119678551552000"", ""Access details here"")"
2018-05-14,#USEmbassyJerusalem https://t.co/f1SFvrkcAH,#USEmbassyJerusalem https://t.co/f1SFvrkcAH,"=HYPERLINK(""http://twitter.com/realDonaldTrump/status/996046634864791557"", ""Access details here"")"
2018-05-14,Big day for Israel. Congratulations!,Big day for Israel. Congratulations!,"=HYPERLINK(""http://twitter.com/realDonaldTrump/status/996021417622851584"", ""Access details here"")"
2018-05-14,U.S. Embassy opening in Jerusalem will be covered live on @FoxNews &amp; @FoxBusiness. Lead up to 9:00 A.M. (eastern) e… https://t.co/VncqHcDmLG,U.S. Embassy opening in Jerusalem will be covered live on @FoxNews &amp; @FoxBusiness. Lead up to 9:00 A.M. (eastern) e… https://t.co/VncqHcDmLG,"=HYPERLINK(""http://twitter.com/realDonaldTrump/status/995980604016611329"", ""Access details here"")"
2018-05-14,So sad to see the Terror Attack in Paris. At some point countries will have to open their eyes &amp; see what is really… https://t.co/qVjD3gLZdp,So sad to see the Terror Attack in Paris. At some point countries will have to open their eyes &amp; see what is really… https://t.co/qVjD3gLZdp,"=HYPERLINK(""http://twitter.com/realDonaldTrump/status/995816799341088770"", ""Access details here"")"
2018-05-13,Remember how badly Iran was behaving with the Iran Deal in place. They were trying to take over the Middle East by… https://t.co/AmYWK4SbD7,Remember how badly Iran was behaving with the Iran Deal in place. They were trying to take over the Middle East by… https://t.co/AmYWK4SbD7,"=HYPERLINK(""http://twitter.com/realDonaldTrump/status/995758467645353985"", ""Access details here"")"
2018-05-13,"China and the United States are working well together on trade, but past negotiations have been so one sided in fav… https://t.co/L81eSKAcjh","China and the United States are working well together on trade, but past negotiations have been so one sided in fav… https://t.co/L81eSKAcjh","=HYPERLINK(""http://twitter.com/realDonaldTrump/status/995746011321597953"", ""Access details here"")"
